,date/time,match,league,sport,bet365,betfair,st
425,2019-10-17 21:16:00,Monmore A8 480m,Monmore,Greyhounds racing,False,True,
426,2019-10-17 21:17:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
427,2019-10-17 21:18:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
428,2019-10-17 21:19:00,Finger Lakes R8 1m Claim,Finger,Horse Racing,False,True,
429,2019-10-17 21:22:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
430,2019-10-17 21:24:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
431,2019-10-17 21:24:00,Keeneland R7 6f Allw Claim,Keeneland,Horse Racing,False,True,
432,2019-10-17 21:26:00,Hove OR 285m,Hove,Greyhounds racing,False,True,
433,2019-10-17 21:30:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
434,2019-10-17 21:32:00,Monmore A9 480m,Monmore,Greyhounds racing,False,True,
435,2019-10-17 21:38:00,Hawthorne R2 1m Mdn,Hawthorne,Horse Racing,False,True,
436,2019-10-17 21:40:00,Belmont Park R7 1m1f Allw,Belmont,Horse Racing,False,True,
437,2019-10-17 21:41:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
438,2019-10-17 21:41:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
439,2019-10-17 21:43:00,Hove OR 740m,Hove,Greyhounds racing,False,True,
440,2019-10-17 21:43:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
441,2019-10-17 21:44:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
442,2019-10-17 21:45:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
443,2019-10-17 21:47:00,Monmore A6 480m,Monmore,Greyhounds racing,False,True,
444,2019-10-17 21:50:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
445,2019-10-17 21:57:00,Keeneland R8 1m4f Stks,Keeneland,Horse Racing,False,True,
446,2019-10-17 21:58:00,Hove OR 490m,Hove,Greyhounds racing,False,True,
447,2019-10-17 21:58:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
448,2019-10-17 22:00:00,Monmore A3 480m,Monmore,Greyhounds racing,False,True,
449,2019-10-17 22:00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
450,2019-10-17 22:06:00,Hawthorne R3 1m Mdn Claim,Hawthorne,Horse Racing,False,True,
451,2019-10-17 22:10:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
452,2019-10-17 22:11:00,Belmont Park R8 6f Mdn Claim,Belmont,Horse Racing,False,True,
453,2019-10-17 22:13:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
454,2019-10-17 22:15:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
455,2019-10-17 22:24:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
457,2019-10-17 22:30:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
458,2019-10-17 22:30:00,Keeneland R9 6f Mdn Claim,Keeneland,Horse Racing,False,True,
459,2019-10-17 22:34:00,Hawthorne R4 1m1f Claim,Hawthorne,Horse Racing,False,True,
460,2019-10-17 22:40:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
461,2019-10-17 22:40:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
462,2019-10-17 22:45:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
463,2019-10-17 22:55:00,Delta Downs R1 5f Claim,Delta,Horse Racing,False,True,
464,2019-10-17 22:55:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
465,2019-10-17 23:00:00,Gonzales/Roelofse v Kozlov/Vance,Las Vegas Challenger 2019,Tennis,False,True,
466,2019-10-17 23:00:00,King/Reese v Krueger/Rola,Las Vegas Challenger 2019,Tennis,False,True,
467,2019-10-17 23:00:00,Withrow/Young v Escobar/Quiroz,Las Vegas Challenger 2019,Tennis,False,True,
468,2019-10-17 23:02:00,Hawthorne R5 6f Mdn,Hawthorne,Horse Racing,False,True,
469,2019-10-17 23:07:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
470,2019-10-17 23:23:00,Delta Downs R2 1m Claim,Delta,Horse Racing,False,True,
471,2019-10-17 23:25:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
472,2019-10-17 23:30:00,Hawthorne R6 1m Allw Claim,Hawthorne,Horse Racing,False,True,
473,2019-10-17 23:33:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
474,2019-10-17 23:51:00,Delta Downs R3 5f Mdn Claim,Delta,Horse Racing,False,True,
475,2019-10-17 23:55:00,Golden Gate Fields Win Each Way,Golden,Horse Racing,False,True,
476,2019-10-17 23:58:00,Hawthorne R7 6f Claim,Hawthorne,Horse Racing,False,True,
478,2019-10-18 00:05:00,New York Rangers @ New Jersey Devils,NHL Matches,Ice Hockey,False,True,
479,2019-10-18 00:05:00,Tampa Bay Lightning @ Boston Bruins,NHL Matches,Ice Hockey,False,True,
480,2019-10-18 00:19:00,Delta Downs R4 7f Claim,Delta,Horse Racing,False,True,
481,2019-10-18 00:25:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
482,2019-10-18 00:26:00,Hawthorne R8 6f Claim,Hawthorne,Horse Racing,False,True,
483,2019-10-18 00:38:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
484,2019-10-18 00:47:00,Delta Downs R5 5f Allw,Delta,Horse Racing,False,True,
485,2019-10-18 00:51:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
486,2019-10-18 00:54:00,Hawthorne R9 6f Mdn Claim,Hawthorne,Horse Racing,False,True,
487,2019-10-18 01:00:00,Universidad de Chile v Deportes Iquique,Chilean Primera Division,Soccer,False,True,
488,2019-10-18 01:04:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
489,2019-10-18 01:05:00,New York Islanders @ Winnipeg Jets,NHL Matches,Ice Hockey,False,True,
490,2019-10-18 01:05:00,Vancouver Canucks @ St. Louis Blues,NHL Matches,Ice Hockey,False,True,
491,2019-10-18 01:15:00,Delta Downs R6 7f Claim,Delta,Horse Racing,False,True,
492,2019-10-18 01:17:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
493,2019-10-18 01:30:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
494,2019-10-18 01:32:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
495,2019-10-18 01:43:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
496,2019-10-18 01:43:00,Delta Downs R7 5f Allw,Delta,Horse Racing,False,True,
497,2019-10-18 01:56:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
498,2019-10-18 02:01:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
500,2019-10-18 02:09:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
501,2019-10-18 02:11:00,Delta Downs R8 5f Allw Claim,Delta,Horse Racing,False,True,
502,2019-10-18 02:22:00,Daytona Beach. Win or Each Way,Daytona Beach,Greyhounds racing,False,True,
503,2019-10-18 02:30:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
504,2019-10-18 02:39:00,Delta Downs R9 7f Mdn Claim,Delta,Horse Racing,False,True,
505,2019-10-18 03:05:00,Ottawa Senators @ Vegas Golden Knights,NHL Matches,Ice Hockey,False,True,
506,2019-10-18 03:07:00,Delta Downs R10 7f Claim,Delta,Horse Racing,False,True,
507,2019-10-18 05:45:00,Bathurst R5 1400m Hcap,Bathurst,Horse Racing,False,True,
508,2019-10-18 06:00:00,Taree R5 1000m Hcap,Taree,Horse Racing,False,True,
509,2019-10-18 06:07:00,Ipswich R4 1200m Mdn,Ipswich,Horse Racing,False,True,
510,2019-10-18 06:24:00,Kalgoorlie R1 1600m Mdn,Kalgoorlie,Horse Racing,False,True,
511,2019-10-18 06:35:00,Taree R6 1250m CL2,Taree,Horse Racing,False,True,
512,2019-10-18 06:42:00,Ipswich R5 1700m CL1,Ipswich,Horse Racing,False,True,
513,2019-10-18 07:00:00,Scotland v Singapore,ICC World T20 Qualifiers,Cricket,False,True,
514,2019-10-18 07:04:00,Kalgoorlie R2 1200m Mdn,Kalgoorlie,Horse Racing,False,True,
515,2019-10-18 07:15:00,Taree R7 1600m Hcap,Taree,Horse Racing,False,True,
516,2019-10-18 07:22:00,Ipswich R6 1350m Hcap,Ipswich,Horse Racing,False,True,
517,2019-10-18 07:39:00,Kalgoorlie R3 1200m Hcap,Kalgoorlie,Horse Racing,False,True,
518,2019-10-18 07:55:00,Pakenham R1 1200m 3yo,Pakenham,Horse Racing,False,True,
519,2019-10-18 08:15:00,Kalgoorlie R4 1100m Hcap,Kalgoorlie,Horse Racing,False,True,
520,2019-10-18 08:30:00,Pakenham R2 1000m Mdn,Pakenham,Horse Racing,False,True,
521,2019-10-18 08:45:00,Kalgoorlie R5 1100m CL2,Kalgoorlie,Horse Racing,False,True,
522,2019-10-18 09:00:00,Pakenham R3 1000m Mdn,Pakenham,Horse Racing,False,True,
523,2019-10-18 09:15:00,Kalgoorlie R6 1400m CL2,Kalgoorlie,Horse Racing,False,True,
526,2019-10-18 09:30:00,Pakenham R4 1400m Mdn,Pakenham,Horse Racing,False,True,
527,2019-10-18 09:45:00,Kalgoorlie R7 1600m Hcap,Kalgoorlie,Horse Racing,False,True,
528,2019-10-18 10:00:00,Pakenham R5 1600m Mdn,Pakenham,Horse Racing,False,True,
529,2019-10-18 10:30:00,Pakenham R6 1600m Hcap,Pakenham,Horse Racing,False,True,
532,2019-10-18 11:00:00,Pakenham R7 1200m CL1,Pakenham,Horse Racing,False,True,
533,2019-10-18 11:10:00,Hong Kong v Ireland,ICC World T20 Qualifiers,Cricket,False,True,
534,2019-10-18 11:10:00,Kenya v Netherlands,ICC World T20 Qualifiers,Cricket,False,True,
537,2019-10-18 11:30:00,Pakenham R8 1200m Hcap,Pakenham,Horse Racing,False,True,
538,2019-10-18 12:00:00,Pakenham R9 1400m Hcap,Pakenham,Horse Racing,False,True,
539,2019-10-18 12:35:00,Shenzhen FC v Guangzhou FC,Chinese Super League,Soccer,False,True,
540,2019-10-18 12:35:00,Tianjin Quanjian v Wuhan Zall,Chinese Super League,Soccer,False,True,
541,2019-10-18 16:30:00,UAE v Oman,ICC World T20 Qualifiers,Cricket,False,True,
543,2019-10-18 18:00:00,AaB v OB,Danish Superliga,Soccer,False,True,
544,2019-10-18 18:00:00,AFC Utd v Sundsvall,Swedish Allsvenskan,Soccer,False,True,
547,2019-10-18 19:00:00,FC Dordrecht v Helmond Sport,Dutch Eerste Divisie,Soccer,False,True,
550,2019-10-18 19:00:00,SC Telstar v Almere City,Dutch Eerste Divisie,Soccer,False,True,
551,2019-10-18 19:00:00,AC Ajaccio v Nancy,French Ligue 2,Soccer,False,True,
553,2019-10-18 19:00:00,Chambly Oise v Sochaux,French Ligue 2,Soccer,False,True,
569,2019-10-18 23:00:00,Arsenal de Sarandi v River Plate,Argentinian Primera Division,Soccer,False,True,
571,2019-10-19 01:10:00,Boca Juniors v Racing Club,Argentinian Primera Division,Soccer,False,True,
573,2019-10-19 01:30:00,Oriente Petrolero v Always Ready,Bolivian Liga de Futbol Profesional,Soccer,False,True,
578,2019-10-19 06:00:00,Yokohama FM v Shonan,Japanese J League,Soccer,False,True,
579,2019-10-19 06:00:00,Suwon Bluewings v Gyeongnam,South Korean K League Classic,Soccer,False,True,
580,2019-10-19 07:00:00,Papua New Guinea v Bermuda,ICC World T20 Qualifiers,Cricket,False,True,
585,2019-10-19 08:00:00,Seongnam FC v Incheon Utd,South Korean K League Classic,Soccer,False,True,
587,2019-10-19 10:00:00,South East Melbourne Phoenix v Illawarra Hawks,Australian NBL,Basketball,False,True,
588,2019-10-19 10:00:00,Sangju Sangmu v Jeju Utd,South Korean K League Classic,Soccer,False,True,
590,2019-10-19 11:10:00,Jersey v Nigeria,ICC World T20 Qualifiers,Cricket,False,True,
591,2019-10-19 11:10:00,Netherlands v Namibia,ICC World T20 Qualifiers,Cricket,False,True,
592,2019-10-19 11:10:00,Scotland v Kenya,ICC World T20 Qualifiers,Cricket,False,True,
596,2019-10-19 12:35:00,Beijing Guoan v Shanghai East Asia,Chinese Super League,Soccer,False,True,
622,2019-10-19 15:00:00,Vasteras SK v Mjallby,Swedish Superettan,Soccer,False,True,
625,2019-10-19 15:30:00,Zlin v Mlada Boleslav,Czech 1 Liga,Soccer,False,True,
628,2019-10-19 16:30:00,Ireland v UAE,ICC World T20 Qualifiers,Cricket,False,True,
639,2019-10-19 17:15:00,Banfield v Atl Tucuman,Argentinian Primera Division,Soccer,False,True,
642,2019-10-19 17:30:00,Dortmund v Mgladbach,German Bundesliga,Soccer,False,True,
644,2019-10-19 18:00:00,HNK Gorica v Dinamo Zagreb,Croatian 1 HNL,Soccer,False,True,
645,2019-10-19 18:00:00,Slaven Belupo v Rijeka,Croatian 1 HNL,Soccer,False,True,
646,2019-10-19 18:00:00,Varazdin v NK Istra,Croatian 1 HNL,Soccer,False,True,
648,2019-10-19 18:00:00,Ankaragucu v Besiktas,Turkish Super League,Soccer,False,True,
649,2019-10-19 18:00:00,Atlanta Utd v New England,US Major League Football,Soccer,False,True,
658,2019-10-19 19:00:00,Jagiellonia Bialystock v Cracovia Krakow,Polish Ekstraklasa,Soccer,False,True,
659,2019-10-19 19:00:00,Extremadura UD v Rayo Vallecano,Spanish Segunda Division,Soccer,False,True,
661,2019-10-19 19:30:00,Obradoiro CAB v Real Madrid,Spanish ACB,Basketball,False,True,
662,2019-10-19 19:30:00,Independiente v Argentinos Juniors,Argentinian Primera Division,Soccer,False,True,
664,2019-10-19 19:30:00,Valerenga v Stabaek,Norwegian Eliteserien,Soccer,False,True,
668,2019-10-19 20:00:00,The Strongest v Aurora,Bolivian Liga de Futbol Profesional,Soccer,False,True,
671,2019-10-19 21:45:00,Patronato v Newells,Argentinian Primera Division,Soccer,False,True,
672,2019-10-19 22:15:00,Sport Boys Warnes v Blooming Santa Cruz,Bolivian Liga de Futbol Profesional,Soccer,False,True,
673,2019-10-19 23:00:00,Toronto FC v DC Utd,US Major League Football,Soccer,False,True,
674,2019-10-20 00:00:00,Talleres v Lanus,Argentinian Primera Division,Soccer,False,True,
