,date/time,match,league,sport,bet365,betfair,st
195,2019-10-17 15:00:00,Mand (AUS) 17th Oct,Mand,Greyhounds racing,False,True,
196,2019-10-17 15:00:00,Pella/Schwartzman v Ram/Salisbury,ATP Antwerp 2019,Tennis,False,True,
197,2019-10-17 15:00:00,Fognini v Tipsarevic,ATP Stockholm 2019,Tennis,False,True,
198,2019-10-17 15:00:00,Blinkova/Kato v Gauff/Mcnally,WTA Luxembourg 2019,Tennis,False,True,
200,2019-10-17 15:02:00,Crayford A8 380m,Crayford,Greyhounds racing,False,True,
201,2019-10-17 15:05:00,Brighton 1m Nov Stks,Brighton,Horse Racing,False,True,
202,2019-10-17 15:07:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
203,2019-10-17 15:10:00,Tramore 2m6f Beg Chs,Tramore,Horse Racing,False,True,
204,2019-10-17 15:11:00,Romford A5 400m,Romford,Greyhounds racing,False,True,
205,2019-10-17 15:15:00,Mand (AUS) 17th Oct,Mand,Greyhounds racing,False,True,
206,2019-10-17 15:19:00,Crayford S6 540m,Crayford,Greyhounds racing,False,True,
207,2019-10-17 15:20:00,Wincanton 1m7f Hcap Hrd,Wincanton,Horse Racing,False,True,
208,2019-10-17 15:25:00,Carlisle 2m Hcap Chs,Carlisle,Horse Racing,False,True,
209,2019-10-17 15:25:00,Vaal R6 1600m Plt,Vaal,Horse Racing,False,True,
210,2019-10-17 15:27:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
211,2019-10-17 15:29:00,Romford S1 575m,Romford,Greyhounds racing,False,True,
212,2019-10-17 15:30:00,Aya Ohori v Ratchanok Intanon,Denmark Open Ladies Singles,Badminton,False,True,
213,2019-10-17 15:30:00,Monfils v Sinner,ATP Antwerp 2019,Tennis,False,True,
214,2019-10-17 15:35:00,Brighton 1m2f Hcap,Brighton,Horse Racing,False,True,
215,2019-10-17 15:39:00,Crayford A4 380m,Crayford,Greyhounds racing,False,True,
216,2019-10-17 15:45:00,Praveen Jordan / Melati Daeva Oktavianti v Kai Lu,Denmark Open Mixed Doubles,Badminton,False,True,
217,2019-10-17 15:45:00,Tramore 2m INHF,Tramore,Horse Racing,False,True,
218,2019-10-17 15:47:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
219,2019-10-17 15:49:00,Romford A6 400m,Romford,Greyhounds racing,False,True,
220,2019-10-17 15:55:00,Wincanton 3m1f Hcap Chs,Wincanton,Horse Racing,False,True,
221,2019-10-17 15:59:00,Crayford A9 380m,Crayford,Greyhounds racing,False,True,
222,2019-10-17 16:00:00,Carlisle 2m1f NHF,Carlisle,Horse Racing,False,True,
223,2019-10-17 16:00:00,Vaal R7 2400m Plt,Vaal,Horse Racing,False,True,
224,2019-10-17 16:00:00,Gabashvili v Huesler,Ismaning Challenger 2019,Tennis,False,True,
225,2019-10-17 16:00:00,Lacko v Baldi,Ismaning Challenger 2019,Tennis,False,True,
226,2019-10-17 16:07:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
227,2019-10-17 16:09:00,Romford A4 400m,Romford,Greyhounds racing,False,True,
228,2019-10-17 16:10:00,Brighton 7f Hcap,Brighton,Horse Racing,False,True,
229,2019-10-17 16:15:00,Khosit Phetpradab v Viktor Axelsen,Denmark Open Mens Singles,Badminton,False,True,
230,2019-10-17 16:19:00,Crayford A7 380m,Crayford,Greyhounds racing,False,True,
231,2019-10-17 16:25:00,Wincanton 2m5f Hcap Hrd,Wincanton,Horse Racing,False,True,
232,2019-10-17 16:27:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
233,2019-10-17 16:29:00,Romford A3 400m,Romford,Greyhounds racing,False,True,
236,2019-10-17 16:35:00,Vaal R8 1800m Plt,Vaal,Horse Racing,False,True,
237,2019-10-17 16:39:00,Crayford A10 380m,Crayford,Greyhounds racing,False,True,
238,2019-10-17 16:40:00,Brighton 5f Hcap,Brighton,Horse Racing,False,True,
239,2019-10-17 16:46:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
240,2019-10-17 16:48:00,Romford A9 400m,Romford,Greyhounds racing,False,True,
241,2019-10-17 16:55:00,Wincanton 2m4f Nov Hrd,Wincanton,Horse Racing,False,True,
242,2019-10-17 16:58:00,Crayford S2 540m,Crayford,Greyhounds racing,False,True,
243,2019-10-17 17:00:00,Kantaphon Wangcharoen v Anders Antonsen,Denmark Open Mens Singles,Badminton,False,True,
245,2019-10-17 17:06:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
246,2019-10-17 17:08:00,Romford S2 575m,Romford,Greyhounds racing,False,True,
247,2019-10-17 17:10:00,Wolverhampton 1m4f Hcap,Wolverhampton,Horse Racing,False,True,
248,2019-10-17 17:18:00,Crayford A3 380m,Crayford,Greyhounds racing,False,True,
249,2019-10-17 17:22:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
250,2019-10-17 17:25:00,Wincanton 3m1f Hcap Chs,Wincanton,Horse Racing,False,True,
251,2019-10-17 17:28:00,Romford A3 400m,Romford,Greyhounds racing,False,True,
252,2019-10-17 17:30:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
253,2019-10-17 17:30:00,Chelmsford City 1m2f Nursery,Chelmsford,Horse Racing,False,True,
254,2019-10-17 17:30:00,P Cuevas v Murray,ATP Antwerp 2019,Tennis,False,True,
255,2019-10-17 17:30:00,Shapovalov v Popyrin,ATP Stockholm 2019,Tennis,False,True,
256,2019-10-17 17:37:00,Crayford A6 380m,Crayford,Greyhounds racing,False,True,
257,2019-10-17 17:39:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
258,2019-10-17 17:44:00,Romford A3 400m,Romford,Greyhounds racing,False,True,
259,2019-10-17 17:45:00,Wolverhampton 1m Nov Stks,Wolverhampton,Horse Racing,False,True,
260,2019-10-17 17:46:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
261,2019-10-17 17:54:00,Crayford A4 380m,Crayford,Greyhounds racing,False,True,
262,2019-10-17 17:56:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
264,2019-10-17 18:00:00,CSKA Moscow v BC Khimki,Euroleague Men,Basketball,False,True,
265,2019-10-17 18:00:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
266,2019-10-17 18:00:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
269,2019-10-17 18:00:00,Chelmsford City 1m Nov Stks,Chelmsford,Horse Racing,False,True,
270,2019-10-17 18:00:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
271,2019-10-17 18:00:00,Clayton/Hoyt v Cerretani/Cressy,Ismaning Challenger 2019,Tennis,False,True,
272,2019-10-17 18:02:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
273,2019-10-17 18:02:00,Romford A3 400m,Romford,Greyhounds racing,False,True,
274,2019-10-17 18:05:00,Keeneland R1 1m1f Mdn,Keeneland,Horse Racing,False,True,
275,2019-10-17 18:09:00,Crayford A10 380m,Crayford,Greyhounds racing,False,True,
276,2019-10-17 18:10:00,Finger Lakes R1 6f Claim,Finger,Horse Racing,False,True,
277,2019-10-17 18:10:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
278,2019-10-17 18:11:00,Sheff 17th Oct,Sheff,Greyhounds racing,False,True,
279,2019-10-17 18:15:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
280,2019-10-17 18:15:00,Belmont Park R1 1m1f Claim,Belmont,Horse Racing,False,True,
281,2019-10-17 18:15:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
282,2019-10-17 18:15:00,Wolverhampton 7f Class Stks,Wolverhampton,Horse Racing,False,True,
283,2019-10-17 18:17:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
284,2019-10-17 18:18:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
285,2019-10-17 18:19:00,Romford A4 400m,Romford,Greyhounds racing,False,True,
286,2019-10-17 18:22:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
287,2019-10-17 18:27:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
288,2019-10-17 18:29:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
289,2019-10-17 18:29:00,Gulfstream Park West Win Each Way,Gulfstream,Horse Racing,False,True,
290,2019-10-17 18:30:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
291,2019-10-17 18:30:00,Chelmsford City 7f Nov Stks,Chelmsford,Horse Racing,False,True,
292,2019-10-17 18:30:00,Griekspoor/Van De Zands v Blancaneaux/Neuchrist,Ismaning Challenger 2019,Tennis,False,True,
293,2019-10-17 18:33:00,Monmore A1 480m,Monmore,Greyhounds racing,False,True,
294,2019-10-17 18:34:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
295,2019-10-17 18:34:00,Palm Beach. Win or Each Way,Palm Beach,Greyhounds racing,False,True,
296,2019-10-17 18:37:00,Finger Lakes R2 6f Claim,Finger,Horse Racing,False,True,
297,2019-10-17 18:39:00,Newc 17th Oct,Newc,Greyhounds racing,False,True,
298,2019-10-17 18:39:00,Keeneland R2 1m1f Claim,Keeneland,Horse Racing,False,True,
299,2019-10-17 18:40:00,Laurel Park Win Each Way,Laurel,Horse Racing,False,True,
300,2019-10-17 18:41:00,Hipo Chile Win Each Way,Hipo,Horse Racing,False,True,
301,2019-10-17 18:44:00,Hove OR 515m,Hove,Greyhounds racing,False,True,
303,2019-10-17 18:45:00,Wheeling Island. Win or Each Way,Wheeling Island,Greyhounds racing,False,True,
304,2019-10-17 18:45:00,Wolverhampton 5f Hcap,Wolverhampton,Horse Racing,False,True,
305,2019-10-17 18:47:00,Yarm 17th Oct,Yarm,Greyhounds racing,False,True,
306,2019-10-17 18:49:00,Monmore A2 480m,Monmore,Greyhounds racing,False,True,
