,date/time,match,league,sport,bet365,betfair,st
155,2019-10-30 12:16:00+00:00,Central Park D3 265m,Other,Greyhounds racing,False,True,
156,2019-10-30 12:18:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
157,2019-10-30 12:20:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
158,2019-10-30 12:24:00+00:00,Romford A7 400m,Other,Greyhounds racing,False,True,
159,2019-10-30 12:26:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
160,2019-10-30 12:31:00+00:00,Central Park A4 480m,Other,Greyhounds racing,False,True,
161,2019-10-30 12:33:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
162,2019-10-30 12:37:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
163,2019-10-30 12:39:00+00:00,Romford A6 400m,Other,Greyhounds racing,False,True,
164,2019-10-30 12:40:00+00:00,Christo Popov / Toma Junior Popov v Mathias Bay-Sm,SaarLorLux Open WD,Badminton,False,True,
165,2019-10-30 12:40:00+00:00,Felix Hammes / Christopher Klauer v Vladimir Nikul,SaarLorLux Open WD,Badminton,False,True,
166,2019-10-30 12:42:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
167,2019-10-30 12:46:00+00:00,Central Park D2 265m,Other,Greyhounds racing,False,True,
168,2019-10-30 12:48:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
169,2019-10-30 12:50:00+00:00,Greyville R4 2000m Plt,Greyville,Horse Racing,False,True,
170,2019-10-30 12:50:00+00:00,Nottingham 1m Mdn Stks,Nottingham,Horse Racing,False,True,
171,2019-10-30 12:54:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
172,2019-10-30 12:54:00+00:00,Romford A4 400m,Other,Greyhounds racing,False,True,
173,2019-10-30 12:57:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
174,2019-10-30 13:01:00+00:00,Central Park D1 265m,Other,Greyhounds racing,False,True,
175,2019-10-30 13:04:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
176,2019-10-30 13:08:00+00:00,Romford A3 400m,Other,Greyhounds racing,False,True,
177,2019-10-30 13:10:00+00:00,Fakenham 2m Mdn Hrd,Fakenham,Horse Racing,False,True,
178,2019-10-30 13:12:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
179,2019-10-30 13:12:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
180,2019-10-30 13:16:00+00:00,Central Park H1 480m,Other,Greyhounds racing,False,True,
181,2019-10-30 13:19:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
182,2019-10-30 13:20:00+00:00,Lianne Tan v Jordan Hart,SaarLorLux Open MD,Badminton,False,True,
183,2019-10-30 13:20:00+00:00,Nottingham 1m Hcap,Nottingham,Horse Racing,False,True,
184,2019-10-30 13:22:00+00:00,Romford A4 400m,Other,Greyhounds racing,False,True,
185,2019-10-30 13:25:00+00:00,Greyville R5 1600m Hcap,Greyville,Horse Racing,False,True,
186,2019-10-30 13:27:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
187,2019-10-30 13:30:00+00:00,Taunton 2m3f Hcap Hrd,Taunton,Horse Racing,False,True,
188,2019-10-30 13:31:00+00:00,Central Park A5 480m,Other,Greyhounds racing,False,True,
189,2019-10-30 13:33:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
190,2019-10-30 13:36:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
191,2019-10-30 13:39:00+00:00,Romford A3 400m,Other,Greyhounds racing,False,True,
192,2019-10-30 13:40:00+00:00,Fakenham 2m Hcap Hrd,Fakenham,Horse Racing,False,True,
193,2019-10-30 13:44:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
194,2019-10-30 13:49:00+00:00,Central Park A1 480m,Other,Greyhounds racing,False,True,
195,2019-10-30 13:50:00+00:00,Nottingham 5f Nursery,Nottingham,Horse Racing,False,True,
196,2019-10-30 13:51:00+00:00,Swin 30th Oct,Other,Greyhounds racing,False,True,
197,2019-10-30 13:54:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
198,2019-10-30 13:57:00+00:00,Romford A4 400m,Other,Greyhounds racing,False,True,
199,2019-10-30 13:59:00+00:00,Newc 30th Oct,Other,Greyhounds racing,False,True,
200,2019-10-30 14:00:00+00:00,Julie Dawall Jakobsen v Maryna Ilyinskaya,SaarLorLux Open MD,Badminton,False,True,
201,2019-10-30 14:00:00+00:00,Arsenal Tula v Ural,Russia Cup,Soccer,False,True,
202,2019-10-30 14:00:00+00:00,Ural v Arsenal Tula,Russia Cup,Soccer,False,True,
203,2019-10-30 14:00:00+00:00,Greyville R6 1200m Hcap,Greyville,Horse Racing,False,True,
204,2019-10-30 14:00:00+00:00,Taunton 3m Hcap Hrd,Taunton,Horse Racing,False,True,
205,2019-10-30 14:00:00+00:00,Bautista Agut v De Minaur,ATP Paris,Tennis,False,True,
206,2019-10-30 14:00:00+00:00,Goffin v Dimitrov,ATP Paris,Tennis,False,True,
207,2019-10-30 14:00:00+00:00,Monfils v Paire,ATP Paris,Tennis,False,True,
208,2019-10-30 14:00:00+00:00,D King v Mmoh,ATP Paris MD,Tennis,False,True,
209,2019-10-30 14:00:00+00:00,J Wolf v Popko,ATP Paris MD,Tennis,False,True,
210,2019-10-30 14:00:00+00:00,Podlipnik-Cas/Weissborn v Bemelmans/Masur,Challenger Eckental,Tennis,False,True,
211,2019-10-30 14:00:00+00:00,Rosol v J Smith,Challenger Eckental,Tennis,False,True,
212,2019-10-30 14:00:00+00:00,Babos/Mladenovic v Groenefeld/Schuurs,ATP Paris,Tennis,False,True,
213,2019-10-30 14:06:00+00:00,Monmore A3 480m,Other,Greyhounds racing,False,True,
214,2019-10-30 14:08:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
215,2019-10-30 14:09:00+00:00,Cann (AUS) 30th Oct,Other,Greyhounds racing,False,True,
216,2019-10-30 14:10:00+00:00,Fakenham 2m Juv Hrd,Fakenham,Horse Racing,False,True,
217,2019-10-30 14:12:00+00:00,Hove B3 490m,Other,Greyhounds racing,False,True,
218,2019-10-30 14:20:00+00:00,Nottingham 5f Hcap,Nottingham,Horse Racing,False,True,
219,2019-10-30 14:22:00+00:00,Monmore D3 264m,Other,Greyhounds racing,False,True,
220,2019-10-30 14:27:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
221,2019-10-30 14:30:00+00:00,Taunton 2m Mdn Hrd,Taunton,Horse Racing,False,True,
222,2019-10-30 14:32:00+00:00,Hove B2 490m,Other,Greyhounds racing,False,True,
223,2019-10-30 14:35:00+00:00,Greyville R7 1200m Hcap,Greyville,Horse Racing,False,True,
224,2019-10-30 14:40:00+00:00,Mariya Mitsova v Yvonne Li,SaarLorLux Open MD,Badminton,False,True,
225,2019-10-30 14:40:00+00:00,Nadia Fankhauser v Martina Repiska,SaarLorLux Open MD,Badminton,False,True,
226,2019-10-30 14:40:00+00:00,Fakenham 2m Nov Chs,Fakenham,Horse Racing,False,True,
227,2019-10-30 14:42:00+00:00,Monmore A4 480m,Other,Greyhounds racing,False,True,
228,2019-10-30 14:47:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
229,2019-10-30 14:50:00+00:00,Nottingham 1m6f Hcap,Nottingham,Horse Racing,False,True,
230,2019-10-30 14:52:00+00:00,Hove A2 515m,Other,Greyhounds racing,False,True,
231,2019-10-30 15:00:00+00:00,Taunton 2m Nov Hcap Chs,Taunton,Horse Racing,False,True,
232,2019-10-30 15:02:00+00:00,Monmore A2 480m,Other,Greyhounds racing,False,True,
233,2019-10-30 15:07:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
234,2019-10-30 15:10:00+00:00,Fakenham 2m7f Hcap Hrd,Fakenham,Horse Racing,False,True,
235,2019-10-30 15:11:00+00:00,Hove D1 285m,Other,Greyhounds racing,False,True,
236,2019-10-30 15:13:00+00:00,Greyville R8 1000m Hcap,Greyville,Horse Racing,False,True,
237,2019-10-30 15:19:00+00:00,Monmore A7 480m,Other,Greyhounds racing,False,True,
238,2019-10-30 15:20:00+00:00,Shuya Zheng v Airi Mikkela,SaarLorLux Open MD,Badminton,False,True,
239,2019-10-30 15:20:00+00:00,Nottingham 1m6f Nov Stks,Nottingham,Horse Racing,False,True,
240,2019-10-30 15:27:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
241,2019-10-30 15:29:00+00:00,Hove B3 490m,Other,Greyhounds racing,False,True,
242,2019-10-30 15:30:00+00:00,Hong Kong v Oman,T20 World Cup Qualifier,Cricket,False,True,
243,2019-10-30 15:30:00+00:00,CS Petrocub v Zimbru Chisinau,Turkey Cup,Soccer,False,True,
244,2019-10-30 15:30:00+00:00,Rudar v Nafta Lendava,Turkey Cup,Soccer,False,True,
245,2019-10-30 15:30:00+00:00,Taunton 2m Hcap Hrd,Taunton,Horse Racing,False,True,
246,2019-10-30 15:30:00+00:00,Cerretani/Cressy v Harris/Margaroli,Challenger Eckental,Tennis,False,True,
247,2019-10-30 15:39:00+00:00,Monmore A4 480m,Other,Greyhounds racing,False,True,
248,2019-10-30 15:40:00+00:00,Fakenham 2m5f Hcap Chs,Fakenham,Horse Racing,False,True,
249,2019-10-30 15:47:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
250,2019-10-30 15:49:00+00:00,Hove B1 490m,Other,Greyhounds racing,False,True,
251,2019-10-30 15:50:00+00:00,Nottingham 1m2f Hcap,Nottingham,Horse Racing,False,True,
252,2019-10-30 15:59:00+00:00,Monmore A1 480m,Other,Greyhounds racing,False,True,
253,2019-10-30 16:00:00+00:00,Banik Ostrava v Slavia Prague,Latvia Virsliga,Soccer,False,True,
254,2019-10-30 16:00:00+00:00,Ceske Budejovice v Sparta Prague,Latvia Virsliga,Soccer,False,True,
255,2019-10-30 16:00:00+00:00,Taunton 2m5f Hcap Chs,Taunton,Horse Racing,False,True,
256,2019-10-30 16:00:00+00:00,Djokovic v Moutet,ATP Paris,Tennis,False,True,
257,2019-10-30 16:00:00+00:00,Herbert/Mahut v Hurkacz/Struff,ATP Paris,Tennis,False,True,
258,2019-10-30 16:00:00+00:00,Wawrinka v Cilic,ATP Paris,Tennis,False,True,
259,2019-10-30 16:00:00+00:00,K King v Giron,ATP Paris MD,Tennis,False,True,
260,2019-10-30 16:00:00+00:00,Torpegaard v Caruana,ATP Paris MD,Tennis,False,True,
261,2019-10-30 16:00:00+00:00,Erlich/Molchanov v Troicki/Zimonjic,Challenger Eckental,Tennis,False,True,
262,2019-10-30 16:00:00+00:00,Kolar v Donskoy,Challenger Eckental,Tennis,False,True,
263,2019-10-30 16:07:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
264,2019-10-30 16:09:00+00:00,Hove B2 490m,Other,Greyhounds racing,False,True,
265,2019-10-30 16:10:00+00:00,Fakenham 2m NHF,Fakenham,Horse Racing,False,True,
266,2019-10-30 16:19:00+00:00,Monmore A4 480m,Other,Greyhounds racing,False,True,
267,2019-10-30 16:20:00+00:00,Nottingham 1m2f Hcap,Nottingham,Horse Racing,False,True,
268,2019-10-30 16:27:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
269,2019-10-30 16:29:00+00:00,Hove B1 490m,Other,Greyhounds racing,False,True,
270,2019-10-30 16:30:00+00:00,FC Dnjapro-MCZ v BATE Borisov,Belarus Premier League,Soccer,False,True,
271,2019-10-30 16:30:00+00:00,IFK Mariehamn v Honka,Finland Veikkausliiga,Soccer,False,True,
272,2019-10-30 16:30:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
273,2019-10-30 16:30:00+00:00,San Isidro Win Each Way,Wolverhampton,Horse Racing,False,True,
274,2019-10-30 16:30:00+00:00,Taunton 2m Mares NHF,Taunton,Horse Racing,False,True,
275,2019-10-30 16:39:00+00:00,Monmore A1 480m,Other,Greyhounds racing,False,True,
276,2019-10-30 16:40:00+00:00,Kempton 6f Class Stks,Kempton,Horse Racing,False,True,
277,2019-10-30 16:45:00+00:00,Mahoning Valley Win Each Way,Mahoning Valley Win Each Way ,Horse Racing,False,True,
278,2019-10-30 16:46:00+00:00,BVue 30th Oct,Other,Greyhounds racing,False,True,
279,2019-10-30 16:46:00+00:00,Derby Lane. Win or Each Way,Derby Lane,Greyhounds racing,False,True,
280,2019-10-30 16:48:00+00:00,Hove B4 490m,Other,Greyhounds racing,False,True,
281,2019-10-30 16:50:00+00:00,Wolverhampton 7f Nursery,Wolverhampton,Horse Racing,False,True,
282,2019-10-30 16:55:00+00:00,San Isidro Win Each Way,Wolverhampton,Horse Racing,False,True,
